Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2009,8,3,0,0.6,13.3
2009,8,4,0,15.7,8.8
2009,8,5,0,1.3,14.7
2009,8,6,0,32.4,8
2009,8,7,0,4.9,7.7
2009,8,8,0,0.1,8
2009,8,9,2.6,6.5,6.7
2009,8,10,0.7,54.6,11.3
2009,8,11,0,14.1,7
2009,8,12,0.1,0,5.8
2009,8,13,0,4.1,9.7
2009,8,14,0,0.1,12
2009,8,15,1.3,0.4,14.2
2009,8,16,0,6.5,12.6
2009,8,17,2.7,10.1,13
2009,8,18,27.8,38.5,14.7
2009,8,19,1.8,0.2,12.9
2009,8,20,0,20.5,9
2009,8,21,17.1,73.2,7.5
2009,8,22,0,1.9,14.2
2009,8,23,0,8.7,13.7
2009,8,24,0,0,6.2
2009,8,25,3.3,0.4,4.8
2009,8,26,0,0,10.5
2009,8,27,0,0,6.9
2009,8,28,0,1.1,2.9
2009,8,29,0,16.4,0.8
2009,8,30,0.2,5.6,7.2
2009,8,31,0,0,8.4
2009,9,1,0.2,0,4.1
2009,9,2,0,0,8.4
2009,9,3,0.6,0.6,10.1
2009,9,4,0,0,9.1
2009,9,5,0.4,0,2.1
2009,9,6,0,0,1.2
2009,9,7,0,0.1,3.5
2009,9,8,0,0,8.2
2009,9,9,0,0,0.8
2009,9,10,0,0,-1.3
2009,9,11,0,0,1.7
2009,9,12,2.8,3,7.6
2009,9,13,1.3,0.6,6.5
2009,9,14,0.1,3.6,1.9
2009,9,15,0.7,0,1.8
2009,9,16,0,0,-2.9
2009,9,17,0,4.1,-0.9
2009,9,18,10.3,2.9,-0.3
2009,9,19,0.1,0,3.1
2009,9,20,0.3,0,2
2009,9,21,0.1,4.9,1.2
2009,9,22,0,7.9,7.1
2009,9,23,9.6,17.8,9.6
2009,9,24,0.6,1.3,4.5
2009,9,25,0.1,0,-0.8
2009,9,26,0,2.7,-4.7
2009,9,27,0.8,38.8,1.4
2009,9,28,11.4,10.8,7.5
2009,9,29,11.6,12.5,8.3
2009,9,30,1.5,1.3,5.6
2009,10,1,10.4,1.7,7
2009,10,2,0.3,3.4,3.9
2009,10,3,5.5,16.7,4
2009,10,4,18.3,8.9,3.8
2009,10,5,18.4,6.1,4.6
2009,10,6,1.9,4.4,2.5
2009,10,7,6,18.9,1
2009,10,8,0.8,1.9,1.8
2009,10,9,3.9,4.1,0.9
2009,10,10,7,0.7,1
2009,10,11,1.4,0.4,-1.2
2009,10,12,0.1,1.6,-2.3
2009,10,13,0.9,2.8,-3.7
2009,10,14,0.7,0.2,-3.2
2009,10,15,0.1,0,-2.9
2009,10,16,0,0,-6.6
2009,10,17,0,0,-6.7
