"year_site"	"mean.temp"	"summ.temp"	"wint.temp"	"rain.GP"	"rain.year"	"rain.wint"
"21"	"2010_CA1105"	2.47013698630137	14.1893442622951	-5.73351648351648	3.81311475409836	3.14328767123288	2.54725274725275
"22"	"2010_CH1001"	2.00219178082192	13.3688524590164	-5.74587912087912	3.43934426229508	3.38931506849315	3.31483516483517
"23"	"2010_CH1002"	2.30315068493151	13.7217213114754	-5.48406593406593	3.53196721311475	3.45945205479452	3.37857142857143
"24"	"2010_CH1003"	2.57068493150685	13.9860655737705	-5.21923076923077	3.51311475409836	3.49041095890411	3.43186813186813
"25"	"2010_CH1104"	2.57068493150685	13.9860655737705	-5.21923076923077	3.51311475409836	3.49041095890411	3.43186813186813
"26"	"2010_CH1105"	2.57068493150685	13.9860655737705	-5.21923076923077	3.51311475409836	3.49041095890411	3.43186813186813
"27"	"2010_MA1001"	3.0213698630137	14.741393442623	-5.13186813186813	3.92459016393443	3.12958904109589	2.51208791208791
"28"	"2010_MA1002"	2.73424657534247	14.2491803278689	-5.25274725274725	4.17295081967213	3.38	2.89230769230769
"29"	"2010_MA1003"	2.37821917808219	13.6934426229508	-5.42472527472527	4.04262295081967	3.13643835616438	2.41923076923077
"30"	"2010_MA1104"	2.47013698630137	14.1893442622951	-5.73351648351648	3.81311475409836	3.14328767123288	2.54725274725275
"31"	"2010_MA1105"	2.91712328767123	14.4446721311475	-5.00467032967033	4.03852459016393	3.38219178082192	2.89230769230769
"32"	"2010_MA1106"	2.73424657534247	14.2491803278689	-5.25274725274725	4.17295081967213	3.38	2.89230769230769
"33"	"2011_CA1001"	2.94002732240437	14.0672131147541	-5.32868852459016	3.37704918032787	2.76092896174863	2.06939890710383
"34"	"2011_CA1002"	3.58633879781421	14.8495901639344	-4.77841530054645	3.79754098360656	3.03005464480874	2.19617486338798
"35"	"2011_CA1003"	3.30286885245902	14.4717213114754	-4.97677595628415	3.55491803278689	2.98524590163934	2.27049180327869
"36"	"2011_CA1104"	2.94002732240437	14.0672131147541	-5.32868852459016	3.37704918032787	2.76092896174863	2.06939890710383
"37"	"2011_CA1105"	2.94002732240437	14.0672131147541	-5.32868852459016	3.37704918032787	2.76092896174863	2.06939890710383
"38"	"2011_CH1001"	2.29344262295082	13.052868852459	-5.59398907103825	4.25409836065574	2.93770491803279	2.00546448087432
"39"	"2011_CH1002"	2.6042349726776	13.3745901639344	-5.28661202185792	4.2844262295082	2.98087431693989	2.05846994535519
"40"	"2011_CH1003"	2.8827868852459	13.6934426229508	-5.01338797814208	4.27704918032787	3.02896174863388	2.14863387978142
"41"	"2011_CH1104"	2.8827868852459	13.6934426229508	-5.01338797814208	4.27704918032787	3.02896174863388	2.14863387978142
"42"	"2011_CH1105"	2.8827868852459	13.6934426229508	-5.01338797814208	4.27704918032787	3.02896174863388	2.14863387978142
"43"	"2011_MA1001"	3.15204918032787	14.2856557377049	-5.08688524590164	3.59426229508197	2.97814207650273	2.28688524590164
"44"	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557
"45"	"2011_MA1003"	2.8129781420765	13.4200819672131	-4.95409836065574	3.30491803278689	2.5672131147541	1.8016393442623
"46"	"2011_MA1104"	2.94002732240437	14.0672131147541	-5.32868852459016	3.37704918032787	2.76092896174863	2.06939890710383
"47"	"2011_MA1105"	3.34590163934426	14.1073770491803	-4.5344262295082	3.63032786885246	2.78060109289618	2.06502732240437
"48"	"2011_MA1106"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557
"49"	"2012_CA1001"	3.10917808219178	14.9081967213115	-5.33681318681319	2.63196721311475	2.90602739726027	2.81868131868132
"50"	"2012_CA1002"	3.78452054794521	15.6323770491803	-4.69450549450549	2.6344262295082	2.74109589041096	2.47197802197802
